t	pop	birthrate
-1833.25000000001	4013400.00000009	0.00157864538562844
-1802.81250000004	3937237.23483894	0.00181758589642404
-1772.37499999998	3861025.83557071	0.00205652640722029
-1741.93750000001	3784710.63416394	0.00229546691801589
-1711.50000000004	3708236.46258653	0.00253440742881149
-1681.06249999998	3631548.1528064	0.00277334793960774
-1650.62500000001	3554590.5367921	0.00301228845040334
-1620.18750000004	3477308.44651153	0.00325122896119894
-1589.74999999998	3399646.7139326	0.00349016947199519
-1559.31250000001	3321550.17102387	0.00372910998279079
-1528.87500000004	3242963.64975324	0.00396805049358639
-1498.43749999998	3163831.98208862	0.00420699100438265
-1468.00000000001	3084099.99999857	0.00444593151517825
-1437.56250000004	3003862.81871134	0.00468487202597385
-1407.12499999998	2923816.6864966	0.0049238125367701
-1376.68750000001	2844808.13488503	0.0051627530475657
-1346.25000000004	2767683.69540665	0.0054016935583613
-1315.81249999998	2693289.8995915	0.00564063406915755
-1285.37500000001	2622473.27897022	0.00587957457995315
-1254.93750000004	2556080.36507286	0.00611851509074875
-1224.49999999998	2494957.68942948	0.006357455601545
-1194.06250000001	2439951.78357067	0.0065963961123406
-1163.62500000004	2391909.17902648	0.0068353366231362
-1133.18749999998	2351676.40732706	0.00707427713393245
-1102.75000000001	2320100.00000287	0.00731321764472806
-1072.31250000004	2297725.84216598	0.00755215815552366
-1041.87499999998	2283897.23325638	0.00779109866631991
-1011.43750000001	2277656.82629613	0.00803003917711551
-981.000000000037	2278047.27430715	0.00826897968791111
-950.562499999982	2284111.23031144	0.00850792019870736
-920.125000000009	2294891.34733094	0.00874686070950296
-889.687500000037	2309430.27838764	0.00898580122029856
-859.249999999982	2326770.67650357	0.00922474173109481
-828.812500000009	2345955.19470059	0.00946368224189041
-798.375000000037	2366026.48600074	0.00970262275268601
-767.937499999982	2386027.20342604	0.00994156326348226
-737.500000000009	2404999.99999836	0.0101805037742779
-707.062500000037	2422159.15985528	0.0104194442850735
-676.624999999982	2437405.49159653	0.0106583847958697
-646.187500000009	2450811.43493728	0.0108973253066653
-615.750000000037	2462449.42959283	0.0111362658174609
-585.312499999982	2472391.91527845	0.0113752063282572
-554.875000000009	2480711.33170934	0.0116141468390528
-524.437500000037	2487480.11860078	0.0118530873498484
-493.999999999982	2492770.71566802	0.0120920278606446
-463.562500000009	2496655.56262628	0.0123309683714402
-433.125000000037	2499207.09919085	0.0125699088822358
-402.687499999982	2500497.76507695	0.0128088493930321
-372.250000000009	2500599.99999985	0.0130477899038277
-341.812500000037	2499601.87026026	0.0132862385326046
-311.374999999982	2497653.94850082	0.0135215317538037
-280.937500000009	2494922.43394965	0.0137504121021123
-250.500000000037	2491573.52583486	0.0139696221122196
-220.062499999982	2487773.42338456	0.0141759043188147
-189.625000000009	2483688.32582687	0.014366001256585
-159.187500000037	2479484.43238989	0.0145366554602196
-128.749999999982	2475327.94230174	0.0146846094644074
-98.3125000000093	2471385.05479054	0.0148066058038361
-67.875000000037	2467821.9690844	0.0148993870131947
-37.4374999999816	2464804.88441142	0.014959695627172
-7.00000000000932	2462499.99999972	0.014984274180456
23.437499999963	2461102.72831442	0.0149716480527468
53.8750000000184	2460925.33476861	0.0149274740037887
84.3124999999907	2462309.29801237	0.0148591916383378
114.749999999963	2465596.09669579	0.0147742405611496
145.187500000018	2471127.20946898	0.0146800603769798
175.624999999991	2479244.114982	0.0145840906905845
206.062499999963	2490288.29188494	0.0144937711067192
236.500000000018	2504601.21882795	0.0144165412301397
266.937499999991	2522524.37446104	0.0143598406656019
297.374999999963	2544399.23743432	0.0143311090178614
327.812500000018	2570567.28639796	0.0143377858916741
358.249999999991	2601370.00000192	0.0143873108917957
388.687499999963	2636947.71995546	0.0144847714070621
419.125000000018	2676636.24020442	0.0146258459626309
449.562499999991	2719570.2177534	0.0148038608677387
479.999999999963	2764884.30960734	0.0150121424316229
510.437500000018	2811713.17277121	0.0152440169635218
540.874999999991	2859191.46424957	0.0154928107726713
571.312499999963	2906453.8410474	0.0157518501683093
601.750000000018	2952634.96016964	0.016014461459674
632.187499999991	2996869.47862088	0.0162739709560011
662.624999999963	3038292.05340608	0.0165237049665288
693.062500000018	3076037.34153016	0.016756989800495
723.499999999991	3109239.99999775	0.0169671517671357
753.937499999963	3137270.00876625	0.0171491098780543
784.375000000018	3160438.63960278	0.0173041539543156
814.812499999991	3179292.48722675	0.0174351665193485
845.249999999963	3194378.14635773	0.0175450300965832
875.687500000018	3206242.21171529	0.0176366272094497
906.124999999991	3215431.27801888	0.0177128403813773
936.562499999963	3222491.93998806	0.0177765521357959
967.000000000018	3227970.79234237	0.0178306449961355
997.437499999991	3232414.4298013	0.0178780014858256
1027.87499999996	3236369.44708439	0.0179215041282961
1058.31250000002	3240382.43891117	0.0179640354469768
1088.74999999999	3245000.00000114	0.0180084779652972
1119.18749999996	3250648.68594565	0.0180568308176685
1149.62500000002	3257274.89582327	0.0181075595824261
1180.06249999999	3264704.98958434	0.0181582464488865
1210.49999999996	3272765.32717922	0.0182064736063664
1240.93750000002	3281282.2685583	0.0182498232441824
1271.37499999999	3290082.17367192	0.0182858775516509
1301.81249999996	3298991.40247045	0.0183122187180888
1332.25000000002	3307836.31490428	0.0183264289328125
1362.68749999999	3316443.27092372	0.0183260903851387
1393.12499999996	3324638.63047918	0.0183087852643839
1423.56250000002	3332248.75352102	0.0182720957598648
1453.99999999999	3339099.99999958	0.018213604060898
1484.43749999996	3345063.03101816	0.0181324493212946
1514.87500000002	3350185.71229179	0.0180339985528437
1545.31249999999	3354560.21068837	0.0179251757318298
1575.74999999996	3358278.69307585	0.0178129048345363
1606.18750000002	3361433.32632218	0.0177041098372469
1636.62499999999	3364116.27729526	0.0176057147162461
1667.06249999996	3366419.71286306	0.0175246434478174
1697.50000000002	3368435.79989349	0.0174678200082445
1727.93749999999	3370256.70525449	0.0174421683738117
1758.37499999996	3371974.59581399	0.0174546125208025
1788.81250000002	3373681.63843994	0.0175120764255012
1819.24999999999	3375470.00000026	0.0176214840641912
1849.68749999996	3377404.5314164	0.0177872872691918
